File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/801.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 9
Injection Number	10
Position	
Comment	$$ 2.1 vial 2:B,2 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	15:31:42
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.252554
Signal Max.	29.108578
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
2.641667	0.5	0.394126
2.650000	0.5	0.394321
2.658333	0.5	0.387876
2.666667	0.5	0.379282
2.675000	0.5	0.367759
2.683333	0.5	0.354477
2.691667	0.5	0.340219
2.700000	0.5	0.325766
2.708333	0.5	0.310141
2.716667	0.5	0.292368
2.725000	0.5	0.274204
2.733333	0.5	0.257602
2.741667	0.5	0.248618
2.750000	0.5	0.245688
2.758333	0.5	0.246079
2.766667	0.5	0.246469
2.775000	0.5	0.246469
2.783333	0.5	0.246860
2.791667	0.5	0.247641
2.800000	0.5	0.246079
2.808333	0.5	0.240024
2.816667	0.5	0.232407
2.825000	0.5	0.225376
2.833333	0.5	0.220688
2.841667	0.5	0.216196
2.850000	0.5	0.210923
2.858333	0.5	0.205454
2.866667	0.5	0.201157
2.875000	0.5	0.199594
2.883333	0.5	0.199985
2.891667	0.5	0.199594
2.900000	0.5	0.196665
2.908333	0.5	0.190024
2.916667	0.5	0.181821
2.925000	0.5	0.173618
2.933333	0.5	0.167563
2.941667	0.5	0.162680
2.950000	0.5	0.160532
2.958333	0.5	0.163071
2.966667	0.5	0.170688
2.975000	0.5	0.179868
2.983333	0.5	0.187876
2.991667	0.5	0.189634
3.000000	0.5	0.186313
3.008333	0.5	0.179282
3.016667	0.5	0.172641
3.025000	0.5	0.167759
3.033333	0.5	0.165415
3.041667	0.5	0.165024
3.050000	0.5	0.165415
3.058333	0.5	0.164048
3.066667	0.5	0.160727
3.075000	0.5	0.155454
3.083333	0.5	0.148618
3.091667	0.5	0.142368
3.100000	0.5	0.139829
3.108333	0.5	0.142759
3.116667	0.5	0.147641
3.125000	0.5	0.150180
3.133333	0.5	0.147837
3.141667	0.5	0.141001
3.150000	0.5	0.134555
3.158333	0.5	0.131430
3.166667	0.5	0.131235
3.175000	0.5	0.133579
3.183333	0.5	0.137680
3.191667	0.5	0.142563
3.200000	0.5	0.145884
3.208333	0.5	0.145688
3.216667	0.5	0.142563
3.225000	0.5	0.139048
3.233333	0.5	0.138071
3.241667	0.5	0.140415
3.250000	0.5	0.143735
3.258333	0.5	0.142173
3.266667	0.5	0.134946
3.275000	0.5	0.123813
3.283333	0.5	0.114243
3.291667	0.5	0.110337
3.300000	0.5	0.112485
3.308333	0.5	0.117173
3.316667	0.5	0.121079
3.325000	0.5	0.123032
3.333333	0.5	0.125180
3.341667	0.5	0.128305
3.350000	0.5	0.131430
3.358333	0.5	0.131430
3.366667	0.5	0.125571
3.375000	0.5	0.116587
3.383333	0.5	0.108969
3.391667	0.5	0.107602
3.400000	0.5	0.112485
3.408333	0.5	0.119516
3.416667	0.5	0.124204
3.425000	0.5	0.126352
3.433333	0.5	0.127134
3.441667	0.5	0.130454
3.450000	0.5	0.137485
3.458333	0.5	0.148227
3.466667	0.5	0.159360
3.475000	0.5	0.169126
3.483333	0.5	0.175376
3.491667	0.5	0.177134
3.500000	0.5	0.174985
3.508333	0.5	0.170884
3.516667	0.5	0.166782
3.525000	0.5	0.162876
3.533333	0.5	0.160923
3.541667	0.5	0.159555
3.550000	0.5	0.159555
3.558333	0.5	0.157993
3.566667	0.5	0.153696
3.575000	0.5	0.148813
3.583333	0.5	0.144712
3.591667	0.5	0.141977
3.600000	0.5	0.138657
3.608333	0.5	0.133579
3.616667	0.5	0.126743
3.625000	0.5	0.121665
3.633333	0.5	0.119516
3.641667	0.5	0.119907
3.650000	0.5	0.120493
3.658333	0.5	0.120493
3.666667	0.5	0.119712
3.675000	0.5	0.118930
3.683333	0.5	0.118540
3.691667	0.5	0.117954
3.700000	0.5	0.116587
3.708333	0.5	0.113071
3.716667	0.5	0.109555
3.725000	0.5	0.107798
3.733333	0.5	0.109165
3.741667	0.5	0.111509
3.750000	0.5	0.111509
3.758333	0.5	0.109360
3.766667	0.5	0.105063
