File Path	chrom://mascot-server/ChromeleonLocal/Raw Data/Users/Jenifer Hendel/2018/Vtag3.seq/486.smp/ACQUITY FLR ChA.channel/ACQUITY FLR ChA.chm
Channel	ACQUITY FLR ChA

Injection Information:
Data Vault	ChromeleonLocal
Injection	IgG Vtag 6
Injection Number	7
Position	
Comment	$$ 2.1 vial 2:A,7 injection 1
Processing Method	New Processing Method
Instrument Method	
Type	Unknown
Status	Finished
Injection Date	11/05/2018
Injection Time	12:12:38
Injection Volume (µL)	25.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	65.000000
Data Points	7801
Detector	
Generating Data System	Chromeleon 7.2.4.8179
Exporting Data System	Chromeleon 7.2.2.0
Operator	Simon.Peel
Signal Quantity	Response
Signal Unit	EU
Signal Min.	-0.261689
Signal Max.	27.112921
Channel	ACQUITY FLR ChA
Driver Name	AnDI Import Plug-in
Channel Type	Evaluation
Min. Step (s)	0.5
Max. Step (s)	0.5
Average Step (s)	0.5

Signal Parameter Information:
Signal Info	techCHROM

Chromatogram Data:
Time (min)	Step (s)	Value (EU)
2.525000	0.5	0.209404
2.533333	0.5	0.212725
2.541667	0.5	0.217803
2.550000	0.5	0.223857
2.558333	0.5	0.227568
2.566667	0.5	0.228350
2.575000	0.5	0.226983
2.583333	0.5	0.225420
2.591667	0.5	0.225225
2.600000	0.5	0.227959
2.608333	0.5	0.236357
2.616667	0.5	0.251787
2.625000	0.5	0.274834
2.633333	0.5	0.302178
2.641667	0.5	0.329717
2.650000	0.5	0.351983
2.658333	0.5	0.363115
2.666667	0.5	0.362529
2.675000	0.5	0.352959
2.683333	0.5	0.338701
2.691667	0.5	0.324443
2.700000	0.5	0.311943
2.708333	0.5	0.299834
2.716667	0.5	0.290068
2.725000	0.5	0.281279
2.733333	0.5	0.272295
2.741667	0.5	0.259404
2.750000	0.5	0.244951
2.758333	0.5	0.230498
2.766667	0.5	0.218584
2.775000	0.5	0.211943
2.783333	0.5	0.206475
2.791667	0.5	0.199834
2.800000	0.5	0.193584
2.808333	0.5	0.190850
2.816667	0.5	0.192412
2.825000	0.5	0.198272
2.833333	0.5	0.205889
2.841667	0.5	0.213701
2.850000	0.5	0.219170
2.858333	0.5	0.219170
2.866667	0.5	0.213897
2.875000	0.5	0.205498
2.883333	0.5	0.197295
2.891667	0.5	0.190850
2.900000	0.5	0.184600
2.908333	0.5	0.176592
2.916667	0.5	0.167998
2.925000	0.5	0.159990
2.933333	0.5	0.152764
2.941667	0.5	0.147100
2.950000	0.5	0.141240
2.958333	0.5	0.136748
2.966667	0.5	0.134404
2.975000	0.5	0.136553
2.983333	0.5	0.142217
2.991667	0.5	0.145928
3.000000	0.5	0.144365
3.008333	0.5	0.137334
